#1	
float BMP_Qch4(571,5)
486	0.2	0.55	0.65	0.65
487	0.2	0.55	0.7	0.75
488	0.2	0.55	0.7	0.75
489	0.2	0.55	0.7	0.75
490	0.2	0.55	0.7	0.75
491	0.2	0.55	0.7	0.75
492	0.2	0.5	0.7	0.75
493	0.2	0.5	0.7	0.75
494	0.2	0.5	0.7	0.75
495	0.2	0.5	0.7	0.75
496	0.2	0.5	0.7	0.75
497	0.2	0.5	0.55	0.65
498	0.2	0.5	0.35	0.5
499	0.2	0.5	0.35	0.5
500	0.2	0.5	0.35	0.5
501	0.2	0.5	0.35	0.5
502	0.2	0.5	0.35	0.5
503	0.2	0.5	0.35	0.5
504	0.2	0.5	0.35	0.5
505	0.2	0.5	0.35	0.5
506	0.2	0.5	0.35	0.5
507	0.2	0.5	0.35	0.5
508	0.2	0.5	0.35	0.5
509	0.2	0.5	0.35	0.5
510	0.2	0.5	0.35	0.5
511	0.2	0.5	0.35	0.5
512	0.2	0.5	0.35	0.5
513	0.2	0.5	0.35	0.5
514	0.2	0.5	0.35	0.5
515	0.2	0.5	0.35	0.5
516	0.2	0.5	0.35	0.5
517	0.2	0.5	0.35	0.5
518	0.2	0.5	0.35	0.5
519	0.2	0.5	0.35	0.5
520	0.2	0.5	0.35	0.65
521	0.2	0.5	0.35	0.65
522	0.2	0.5	0.45	0.65
523	0.2	0.5	0.45	0.65
524	0.2	0.5	0.5	0.65
525	0.2	0.5	0.5	0.65
526	0.2	0.5	0.5	0.65
527	0.2	0.55	0.5	0.6
528	0.2	0.55	0.5	0.6
529	0.2	0.55	0.5	0.6
530	0.2	0.55	0.5	0.6
531	0.2	0.55	0.5	0.6
532	0.2	0.55	0.5	0.6
533	0.2	0.55	0.5	0.6
534	0.2	0.55	0.5	0.6
535	0.2	0.55	0.5	0.6
536	0.2	0.55	0.5	0.6
537	0.2	0.55	0.5	0.6
538	0.2	0.55	0.5	0.6
539	0.2	0.55	0.5	0.6
540	0.2	0.55	0.5	0.6
541	0.2	0.55	0.5	0.6
542	0.2	0.55	0.5	0.6
543	0.2	0.6	0.5	0.6
544	0.2	0.6	0.5	0.6
545	0.2	0.6	0.5	0.8
546	0.2	0.6	0.5	0.85
547	0.2	0.6	0.6	0.85
548	0.2	0.6	0.6	0.85
549	0.2	0.6	0.6	0.85
550	0.2	0.6	0.6	0.85
551	0.2	0.6	0.6	0.85
552	0.4	0.6	0.6	0.85
553	0.4	0.6	0.6	0.85
554	0.4	0.6	0.6	0.8
555	0.4	0.6	0.6	0.8
556	0.4	0.6	0.6	0.8
557	0.4	0.6	0.6	0.75
558	0.4	0.6	0.6	0.75
559	0.4	0.6	0.6	0.75
560	0.4	0.6	0.6	0.75
561	0.4	0.6	0.6	0.75
562	0.4	0.6	0.55	0.75
563	0.4	0.6	0.55	0.85
564	0.4	0.6	0.55	0.85
565	0.4	0.6	0.55	0.85
566	0.4	0.6	0.55	0.85
567	0.4	0.7	0.5	0.85
568	0.4	0.8	0.5	0.85
569	0.4	0.8	0.5	0.85
570	0.4	0.8	0.5	0.95

