"time","santonio_plus10maize.sAntonio.digester.TVFA","santonio_plus10manure.sAntonio.digester.TVFA","santonio_plus10tomato.sAntonio.digester.TVFA","santonio_plus20manure.sAntonio.digester.TVFA"
58.08333333333334,542.1709236133134,561.3692553056537,643.607495263849,562.1259211992696
58.125,542.1351512357924,561.351402480559,643.5977972080102,562.0912412359829
58.16666666666666,542.0994765634584,561.3335695837876,643.5881970177552,562.0566052351475
58.20833333333334,542.0638992530755,561.3157565758614,643.5786942561101,562.0220130998874
58.25,542.0284195766427,561.297963488065,643.5692892693571,561.9874649069725
58.29166666666666,541.9930374270392,561.2801903182423,643.5599818912302,561.9529606451881
58.33333333333334,541.9577516154172,561.2624370424663,643.5507702764708,561.9185001900715
58.375,541.92256285777,561.2447036751472,643.5416555364003,561.8840836165813
58.41666666666666,541.8874711540976,561.2269902162851,643.5326376710195,561.8497109247176
58.45833333333334,541.8524747197119,561.2092965814132,643.5237140570778,561.8153818366422
58.5,541.8175739876358,561.1916227910267,643.5148853310607,561.781096419768
58.54166666666666,541.7827692500911,561.173968858955,643.5061519224938,561.7468547195874
58.58333333333334,541.7480595491569,561.1563347409434,643.4975124262719,561.7126565884499
58.625,541.7134443332301,561.1387204115078,643.4889660332868,561.6785019413339
58.66666666666666,541.6789241923738,561.1211258979087,643.4805136090604,561.6443908691894
58.70833333333334,541.6444986774369,561.1035511793981,643.4721544960279,561.6103233027243
58.75,541.6101664143779,561.0859961925024,643.4638866825695,561.5762990299626
58.79166666666666,541.5759282822457,561.0684609778289,643.4557114556275,561.5423181865173
58.83333333333334,541.5417842810406,561.0509455353777,643.4476288152024,561.508380772388
58.875,541.50773305693,561.0334498013602,643.4396367939893,561.4744865753739
58.91666666666666,541.4737748703834,561.0159737880487,643.4317357704857,561.4406356363012
58.95833333333334,541.439909474674,560.9985174838185,643.423925386164,561.4068279164976
59,541.4061366154368,560.9810808766849,643.4162052713967,561.3730633760937
59.04166666666666,541.3724560383072,560.963663954662,643.4085750565572,561.3393419752199
59.08333333333334,541.3388674889205,560.9462667057659,643.4010343720183,561.3056636740072
59.125,541.3053705458947,560.9288891091441,643.3935826116739,561.2720284043419
59.16666666666666,541.2719647680913,560.9115311428967,643.3862191414452,561.2384360947699
59.20833333333334,541.2386500350551,560.8941928021475,643.3789437813064,561.2048867280668
59.25,541.2054260605508,560.8768740732199,643.3717561165055,561.1713802589734
59.29166666666666,541.172292558344,560.8595749424367,643.364655732291,561.1379166422313
59.33333333333334,541.1392492421993,560.8422953961211,643.3576422139114,561.1044958325811
59.375,541.1062958258824,560.8250354205965,643.3507151466146,561.0711177847644
59.41666666666666,541.0734319745394,560.8077949936544,643.3438740805439,561.0377824332319
59.45833333333334,541.0406574218713,560.790574105116,643.337118615342,561.0044897410446
59.5,541.0079718835816,560.7733727416448,643.330448337657,560.9712396637526
59.54166666666666,540.9753750702664,560.7561908890076,643.3238628304487,560.9380321547745
59.58333333333334,540.9428666925209,560.7390285329716,643.3173616766765,560.9048671675284
59.625,540.9104464609408,560.7218856593037,643.3109444593007,560.8717446554328
59.66666666666666,540.8781141555297,560.7047622543347,643.3046108788415,560.8386645771553
59.70833333333334,540.845869622259,560.6876583049321,643.2983607475562,560.8056268963524
59.75,540.8137124742386,560.6705737960706,643.292193483285,560.7726315590697
59.79166666666666,540.781642435673,560.6535087136275,643.2861086920381,560.7396785197552
59.83333333333334,540.7496592307667,560.6364630434806,643.280105979826,560.7067677328562
59.875,540.7177625837243,560.6194367715074,643.2741849526583,560.6738991528205
59.91666666666666,540.6859522187503,560.602429883585,643.2683452165456,560.6410727340952
59.95833333333334,540.654228062597,560.5854423684935,643.2625867170591,560.6082884485289
60,540.622589796083,560.5684742114885,643.2569089874751,560.5755462468417
60.04166666666666,540.5910371122386,560.5515253980005,643.251311581541,560.5428460808034
60.08333333333334,540.5595697506312,560.5345959141281,643.2457941310224,560.5101879061808
60.125,540.5281874508285,560.5176857459683,643.2403562676858,560.4775716787419
60.16666666666666,540.4968899523984,560.5007948796185,643.2349976232961,560.4449973542539
60.20833333333334,540.4656770195508,560.4839233011486,643.2297178738863,560.4124648897034
60.25,540.4345484926622,560.4670709965399,643.2245168323116,560.3799742458463
60.29166666666666,540.4035040627579,560.4502379519457,643.2193940431368,560.3475253760477
60.33333333333334,540.3725434864185,560.4334241534441,643.21434916869,560.3151182369171
60.375,540.3416665216973,560.4166295871116,643.209381873943,560.2827527851365
60.41666666666666,540.3108729281196,560.3998542390231,643.2044918265138,560.2504289774607
60.45833333333334,540.2801624666837,560.3830980952509,643.1996786966648,560.218146770718
60.5,540.2495348447638,560.3663611401988,643.194942068105,560.1859061153223
60.54166666666666,540.2189898156515,560.3496433596144,643.1902815991425,560.153706966994
60.58333333333334,540.1885271546514,560.3329447398643,643.1856969839849,560.1215492839434
60.625,540.1581466169445,560.3162652666606,643.1811878845239,560.0894330219116
60.66666666666666,540.127847958211,560.2996049256836,643.1767539637167,560.0573581365981
60.70833333333334,540.0976309346266,560.2829637025832,643.1723948855872,560.0253245836597
60.75,540.0674953022178,560.2663415829468,643.1681103137032,559.9933323186599
60.79166666666666,540.0374408120318,560.2497385520719,643.1638998998203,559.9613812966779
60.83333333333334,540.0074672246013,560.2331545956496,643.1597633178985,559.9294714734766
60.875,539.9775742972151,560.2165896991631,643.1557002341661,559.8976028044748
60.91666666666666,539.9477617875829,560.2000438480607,643.1517103157373,559.8657752450424
60.95833333333334,539.9180294538342,560.1835170277561,643.1477932306125,559.833988750503
61,539.8883770545199,560.1670092236274,643.1439486476776,559.8022432761302
61.04166666666666,539.8588043486103,560.150520421019,643.1401762367049,559.7705387771503
61.08333333333334,539.8293110954975,560.1340506052394,643.136475668353,559.7388752087418
61.125,539.7998970549934,560.1175997615627,643.1328466141662,559.7072525260339
61.16666666666666,539.7705619873306,560.1011678752284,643.1292887465745,559.6756706841093
61.20833333333334,539.741305653162,560.0847549314409,643.1258017388946,559.6441296380011
61.25,539.7121278135618,560.0683609153697,643.1223852653287,559.6126293426951
61.29166666666666,539.6830282312492,560.0519858121958,643.119039002914,559.5811697532895
61.33333333333334,539.6540068226486,560.0356296128595,643.1157628733749,559.5497508449732
61.375,539.62506324576,560.0192922984816,643.1125563876243,559.5183725588796
61.41666666666666,539.5961972710369,560.0029738543841,643.1094192356527,559.487034850813
61.45833333333334,539.5674086698268,559.9866742658709,643.106351109089,559.455737676592
61.5,539.5386972143731,559.9703935182291,643.1033517012035,559.4244809920489
61.54166666666666,539.5100626778112,559.9541315967296,643.100420706903,559.3932647530304
61.58333333333334,539.4815048341721,559.9378884866258,643.0975578227357,559.362088915397
61.625,539.4530234583801,559.9216641731537,643.0947627468881,559.3309534350236
61.66666666666666,539.4246183262538,559.9054586415334,643.0920351791862,559.2998582677991
61.70833333333334,539.3962892145064,559.8892718769675,643.0893748210954,559.2688033696262
61.75,539.3680359007444,559.8731038646414,643.0867813757202,559.2377886964221
