#1
float Setpoints(3024,3)
277 0.33186000 0.83584000
278 0.33186000 0.83584000
279 0.33186000 0.83584000
280 0.33186000 0.83584000
281 0.33186000 0.83584000
282 0.33186000 0.83584000
283 0.33186000 0.83584000
284 0.33186000 0.83584000
285 0.33186000 0.83584000
286 0.33186000 0.83584000
287 0.33186000 0.83584000
288 0.33186000 0.83584000
289 0.33186000 0.83584000
290 0.33186000 0.83584000
291 0.33186000 0.83584000
292 0.33186000 0.83584000
293 0.33186000 0.83584000
294 0.33186000 0.83584000
295 0.33186000 0.83584000
296 0.33186000 0.83584000
297 0.33186000 0.83584000
298 0.33186000 0.83584000
299 0.33186000 0.83584000
300 0.33186000 0.83584000
301 0.33186000 0.83584000
302 0.33186000 0.83584000
303 0.33186000 0.83584000
304 0.33186000 0.83584000
305 0.33186000 0.83584000
306 0.33186000 0.83584000
307 0.33186000 0.83584000
308 0.33186000 0.83584000
309 0.33186000 0.83584000
310 0.33186000 0.83584000
311 0.33186000 0.83584000
312 0.33186000 0.83584000
313 0.33186000 0.83584000
314 0.33186000 0.83584000
315 0.33186000 0.83584000
316 0.33186000 0.83584000
317 0.33186000 0.83584000
318 0.33186000 0.83584000
319 0.33186000 0.83584000
320 0.33186000 0.83584000
321 0.33186000 0.83584000
322 0.33186000 0.83584000
323 0.33186000 0.83584000
324 0.33186000 0.83584000
325 0.33186000 0.83584000
326 0.33186000 0.83584000
327 0.33186000 0.83584000
328 0.33186000 0.83584000
329 0.33186000 0.83584000
330 0.33186000 0.83584000
331 0.33186000 0.83584000
332 0.33186000 0.83584000
333 0.33186000 0.83584000
334 0.33186000 0.83584000
335 0.33186000 0.83584000
336 0.33187000 0.83584000
337 0.33190000 0.83584000
338 0.33195000 0.83585000
339 0.33201000 0.83586000
340 0.33209000 0.83587000
341 0.33219000 0.83591000
342 0.33228000 0.83594000
343 0.33239000 0.83600000
344 0.33250000 0.83606000
345 0.33262000 0.83614000
346 0.33274000 0.83623000
347 0.33287000 0.83633000
348 0.33301000 0.83645000
349 0.33315000 0.83659000
350 0.33329000 0.83674000
351 0.33344000 0.83691000
352 0.33360000 0.83709000
353 0.33375000 0.83728000
354 0.33392000 0.83749000
355 0.33408000 0.83770000
356 0.33425000 0.83792000
357 0.33442000 0.83816000
358 0.33460000 0.83840000
359 0.33478000 0.83865000
360 0.33496000 0.83891000
361 0.33515000 0.83918000
362 0.33534000 0.83945000
363 0.33553000 0.83973000
364 0.33573000 0.84002000
365 0.33593000 0.84031000
366 0.33614000 0.84061000
367 0.33634000 0.84091000
368 0.33656000 0.84122000
369 0.33677000 0.84152000
370 0.33699000 0.84184000
371 0.33721000 0.84215000
372 0.33743000 0.84247000
373 0.33765000 0.84279000
374 0.33788000 0.84311000
375 0.33811000 0.84343000
376 0.33835000 0.84375000
377 0.33859000 0.84408000
378 0.33883000 0.84440000
379 0.33907000 0.84473000
380 0.33932000 0.84505000
381 0.33956000 0.84538000
382 0.33982000 0.84570000
383 0.34007000 0.84603000
